CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV,,,
A3Q10,SE,0,0,0,0,0,1,0,3,0,0,0,0,0,154.73,2.59,0,0,0,0,0,400,,,
A3Q10,PEN,0,0,0,0,0,2,0,1,0,0,0,0,0,143,2.1,0,0,0,0,0,400,,,
A3250,NE,0,0,0,0,0,0,0,0,0,1,0,3,0,143,2.8,0,0,0,0,0,400,,,
A3250,OR,0,0,0,0,0,0,0,2,0,0,0,0,0,23,8.7,0,0,0,0,0,400,,,
A3460,C,0,0,0,0,0,0,0,0,0,0,0,1,0,59,1.69,0,0,0,0,0,400,,,
A3460,OR,0,0,0,0,0,0,0,3,0,0,1,1,0,166,3.01,0,0,0,0,0,400,,,
A3360,OR,0,0,0,0,0,0,0,0,0,2,0,2,0,225,1.78,0,0,0,0,0,400,,,
A3370,C,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,400,,,
A3370,OR,0,0,0,0,0,0,0,4,0,0,0,0,0,86,4.65,0,0,0,0,0,400,,,
A3J00,NO,0,0,0,0,0,0,0,2,0,0,0,0,0,121.3,1.65,0,0,0,0,0,400,,,
A3J00,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,133,1.5,0,0,0,0,0,400,,,
A3J80,OCC,0,0,0,0,0,0,0,2,0,0,0,2,0,213,1.88,0,0,0,0,0,400,,,
A3L60,C,0,0,0,0,0,0,0,4,0,0,0,0,0,167,2.4,0,0,0,0,0,400,,,
A3L60,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,400,,,
A3Q00,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,154.73,0,0,0,0,0,0,400,,,
A3Q00,PEN,0,0,0,0,0,2,0,2,0,0,0,0,0,143,2.8,0,0,0,0,0,400,,,
A3U10,OR,0,0,2,0,0,0,1,0,0,1,0,0,0,150,2.67,0,0,0,0,0,400,,,
A3040,SE,0,0,0,0,1,0,0,0,0,0,0,0,2,243,1.23,0,0,0,0,0,400,,,
A3120,NE,0,0,0,0,0,0,0,1,0,0,0,2,0,143,2.1,0,0,0,0,0,400,,,
A3120,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,400,,,
A3140,SE,0,0,0,0,0,0,0,3,0,0,0,0,0,243,1.23,0,0,0,0,0,400,,,
A3160,SE,0,0,0,0,0,1,0,2,0,0,0,0,0,145,2.07,0,0,0,0,0,400,,,
A3210,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,150,1.33,0,0,0,0,0,400,,,
